Price,Close,High,Low,Open,Volume
Ticker,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS
Date,,,,,
2026-06-30,1219.39599609375,1231.6256773903472,1214.523955949977,1224.9639899552776,1242580
2026-07-01,1209.254150390625,1224.864559444875,1203.7855612653418,1222.5776463523107,1634758
2026-07-02,1216.810791015625,1227.1512983636198,1210.1489826348395,1218.9981780223573,1302096
2026-07-03,1223.1741943359375,1238.0885283005596,1219.0976339935728,1224.9639629609562,1153646
2026-07-06,1236.0999755859375,1237.3925997717663,1218.401705078427,1222.975409979327,1090418
2026-07-07,1246.4000244140625,1252.800048828125,1221.199951171875,1236.0,2548642
2026-07-08,1219.5,1245.800048828125,1212.199951171875,1231.0,1038782
2026-07-09,1225.800048828125,1240.5,1220.300048828125,1224.0,1151162
2026-07-10,1245.4000244140625,1259.0,1232.300048828125,1232.300048828125,1504035
2026-07-13,1237.4000244140625,1240.0999755859375,1220.4000244140625,1235.199951171875,1403822
2026-07-14,1247.699951171875,1254.800048828125,1225.0999755859375,1225.0999755859375,1042163
2026-07-15,1226.9000244140625,1252.5999755859375,1224.9000244140625,1249.5999755859375,836306
2026-07-16,1221.0,1233.300048828125,1219.4000244140625,1232.9000244140625,1342230
2026-07-17,1237.300048828125,1243.9000244140625,1218.0,1221.0,2800390
2026-07-20,1257.0,1266.5999755859375,1247.199951171875,1252.699951171875,2686712
2026-07-21,1267.4000244140625,1271.4000244140625,1252.0,1259.0,1941639
2026-07-22,1266.9000244140625,1279.300048828125,1261.699951171875,1264.5,3988761
2026-07-23,1246.800048828125,1274.699951171875,1238.5,1256.0,2674866
2026-07-24,1240.800048828125,1245.0,1228.0999755859375,1238.5999755859375,1083729
2026-07-27,1244.5999755859375,1251.0,1234.300048828125,1251.0,1128386
2026-07-28,1246.9000244140625,1259.9000244140625,1241.199951171875,1241.199951171875,1515691
2026-07-29,1276.5999755859375,1279.0,1243.199951171875,1255.699951171875,1516573
2026-07-30,1270.800048828125,1304.5,1261.5,1279.0999755859375,923153
2026-07-31,1270.0,1282.199951171875,1262.0,1276.4000244140625,1449844
