Price,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
Date,,,,,
2026-06-30,6551.9814453125,6619.204237159071,6509.1580371732025,6533.5574208804765,577958
2026-07-01,6518.619140625,6638.1263282921,6503.680742166613,6571.899428459915,323984
2026-07-02,6655.056640625,6698.875943608539,6518.121318801441,6572.895447530865,344354
2026-07-03,6729.25048828125,6776.555416236461,6658.044123043406,6658.044123043406,382822
2026-07-06,6829.337890625,6861.704420912322,6725.7649937055685,6757.1356307532815,402108
2026-07-07,6743.69091796875,6930.420896130035,6726.262786673697,6869.6714099015635,448472
2026-07-08,6727.2587890625,6836.309098078391,6665.513408615146,6756.139692820133,358137
2026-07-09,6785.0205078125,6916.478412851579,6712.818249363006,6713.814142582999,356468
2026-07-10,6807.92626953125,6843.280479971326,6747.176781169429,6841.786640093576,222860
2026-07-13,6910.00537109375,6929.425289626045,6758.6295958676565,6801.950952593545,274183
2026-07-14,7158.978515625,7178.896380313391,6880.626356604733,6931.416911560131,1093244
2026-07-15,7243.13134765625,7299.89726087176,7204.2915122982695,7230.184735870257,726479
2026-07-16,7285.955078125,7359.651179243268,7244.127561274091,7289.93865115842,668484
2026-07-17,7217.736328125,7286.452962363099,7170.431398758192,7285.9550157381855,455060
2026-07-20,7287.94677734375,7407.951913538055,7207.777371006476,7230.184969051056,434480
2026-07-21,7299.8974609375,7313.839966319918,7245.123332649428,7287.946742038284,179558
2026-07-22,7356.16552734375,7367.618299775138,7189.851353774887,7299.897558441709,371324
2026-07-23,7275.0,7349.194045174539,7238.151950718686,7324.794661190966,246545
2026-07-24,7248.5,7280.0,7177.0,7230.0,328948
2026-07-27,7414.0,7459.0,7220.5,7222.0,544701
2026-07-28,7425.0,7479.0,7350.5,7448.0,410385
2026-07-29,7784.5,7818.5,7428.5,7428.5,1158131
2026-07-30,7835.0,7938.0,7795.0,7885.5,651446
2026-07-31,8056.0,8090.0,7870.5,7873.0,793781
