Date,Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
2026-06-30,286.95001220703125,291.6000061035156,285.5,291.5,18180676
2026-07-01,290.29998779296875,291.0,287.1000061035156,287.8500061035156,6551425
2026-07-02,289.8999938964844,291.0,287.70001220703125,290.70001220703125,12722639
2026-07-03,289.95001220703125,291.6000061035156,289.0,291.29998779296875,6517591
2026-07-06,288.25,290.3999938964844,287.6000061035156,289.95001220703125,27126124
2026-07-07,288.75,290.70001220703125,286.54998779296875,288.29998779296875,18491160
2026-07-08,280.6499938964844,287.8500061035156,280.0,286.8999938964844,21593793
2026-07-09,282.04998779296875,284.3999938964844,281.0,281.25,12512120
2026-07-10,281.75,283.6499938964844,280.8500061035156,282.8500061035156,11774274
2026-07-13,279.6499938964844,281.5,279.5,281.3500061035156,12559492
2026-07-14,275.54998779296875,280.6499938964844,275.0,279.25,15018851
2026-07-15,276.6499938964844,277.70001220703125,275.29998779296875,276.6499938964844,8523722
2026-07-16,279.3500061035156,280.45001220703125,276.0,277.0,11220653
2026-07-17,280.70001220703125,281.95001220703125,277.79998779296875,279.3500061035156,15215868
2026-07-20,282.70001220703125,283.70001220703125,279.5,280.70001220703125,9913943
2026-07-21,281.0,283.95001220703125,278.79998779296875,283.0,9858768
2026-07-22,280.79998779296875,282.20001220703125,278.5,280.5,12995017
2026-07-23,281.29998779296875,284.0,279.6499938964844,279.95001220703125,21143589
2026-07-24,283.45001220703125,284.8500061035156,279.54998779296875,279.54998779296875,24954082
2026-07-27,285.8500061035156,287.8999938964844,285.5,287.75,19312804
2026-07-28,284.6499938964844,287.95001220703125,282.29998779296875,284.8999938964844,14843878
2026-07-29,286.25,289.04998779296875,284.1499938964844,285.6000061035156,19030590
2026-07-30,285.04998779296875,288.3999938964844,283.75,286.1000061035156,18283697
2026-07-31,281.0,285.79998779296875,280.04998779296875,285.54998779296875,16821515
